age_days,matches,innings,not_outs,runs,highest_score,average,balls,strike_rate,hundreds,fifties,fours,sixes,points
10420,141,128,23,21,132,43.96,3306,139.62,4,38,403,186,54.0
9158,148,136,22,0,100,25.62,2015,144.96,1,15,198,198,29.5
10847,146,141,10,89,111,25.7,2503,134.51,2,20,326,122,39.8
12420,294,293,37,45,135,37.93,6856,141.65,8,79,945,371,36.333333333333336
6940,19,16,6,12,76,31.8,225,141.33,0,1,24,18,9.75
11355,133,121,19,5,114,28.29,2157,133.79,2,14,240,116,28.4
11039,189,181,24,41,101,30.47,3815,125.42,1,32,449,119,24.0
7272,22,18,3,0,59,22.4,256,131.25,0,3,32,7,9.7
11371,252,230,54,3,129,32.26,4546,124.9,3,30,473,173,29.09090909090909
11680,292,277,54,1,113,41.77,6946,134.1,5,67,829,296,40.1
13403,321,302,63,28,133,37.57,5966,150.53,4,66,722,416,30.333333333333332
12399,298,293,32,20,172,35.53,6503,142.62,8,61,896,384,20.7
11079,104,88,17,0,93,23.46,1343,124.05,0,6,170,54,7.0
7418,23,23,3,1,122,46.15,609,151.55,1,8,92,40,28.7
11471,203,179,39,50,101,30.78,3409,126.43,1,21,382,99,19.6
6879,3,3,0,6,34,13.33,44,90.9,0,0,2,2,13.333333333333334
11463,320,289,88,0,120,34.32,4999,138.02,3,31,495,300,0.0
6927,33,27,2,6,63,22.24,452,123.0,0,4,47,22,9.555555555555555
12770,265,257,23,5,92,28.42,5012,132.7,0,37,671,233,16.333333333333332
11002,160,140,35,47,94,31.38,2355,139.91,0,17,340,108,26.6
12933,300,267,50,1,97,26.98,4417,132.57,0,30,573,180,10.727272727272727
12467,302,288,41,34,91,27.36,5100,132.5,0,36,517,312,29.0
9802,108,98,9,22,97,26.68,1750,135.71,0,16,199,127,21.90909090909091
7721,49,46,12,47,78,33.97,908,127.2,0,9,105,36,33.72727272727273
10833,81,78,11,36,93,25.2,1300,129.92,0,10,157,60,20.88888888888889
8407,61,44,15,12,67,22.96,486,137.03,0,2,68,19,6.6
10554,132,118,14,1,111,25.37,1999,132.01,2,14,257,90,4.0
14358,329,294,121,15,84,39.42,5050,135.04,0,27,467,302,18.88888888888889
13256,231,215,24,43,119,29.62,4427,127.82,1,35,499,169,27.1
12819,233,221,31,71,100,26.57,4112,122.78,1,26,421,174,29.1
8671,32,32,4,0,82,32.6,690,132.31,0,7,85,31,17.5
13359,169,166,5,1,127,26.22,3456,122.19,3,23,395,148,10.666666666666666
